Amz11inf	Amz13chld	Amz14chld	Amz18chld	Amz1baby	Amz1teenF	Amz22chld	Amz29adlt	Amz33eld	Amz3chldM1	Amz3chldM2	Amz4adltF	Amz4chldM1	Amz4chldM2	Amz5chldF1	Amz5chldF2	Amz5chldM	Amz5teenF	Amz6eldM	Amz7adltF	Amz7eldM	AmzC10adltF1	AmzC10adltF2	AmzC12adltF	AmzC16chldM	AmzC1babyF2	AmzC2chldM1	AmzC4chldF	F3T1pre4	F4T2pre4	h130A.4	h144B.1	h146A.4	h146M	h147B.4	h147M	h165A.1	h165M.1	h181A.1	h186B.1	h186M	h18B.4	h208A.1	h208M.1	h209A.2	h235B.1	h235M	h257B.1	h257M.2	h264B.2	h264M	h273A.2	h60A.2	h9A.5	TS109	TS111	TS127	TS129	TS13	TS195	USBld1	USBldAdlt6	USBldChld10	USBldChld8	USchp18Child	USchp3Mom	USchp41Infant	USinfTw10.2	USinfTw11.2	USinfTw15.1	USinfTw16.2	USinfTw18.1	USinfTw19.1	USinfTw2.1	USinfTw21.1	USinfTw3.1	USinfTw5.1	USinfTw7.1	USinfTw9.1	USygt10.T1	USygt21.B1	USygt29.T1	USygt39.T2	USygt42.T1	USygt54.AS
Amz3chldM2	0.775710648	0.749795623	0.720649869	0.43084113	0.919734852	0.417873549	0.486049566	0.479901974	0.656896705	0.51901291	0	0.607545313	0.498149214	0.419270024	0.487136869	0.460082492	0.458841757	0.417203617	0.512640184	0.648488642	0.504729025	0.513336684	0.50994442	0.519601157	0.503953151	0.903391607	0.549796708	0.663530723	0.752264572	0.850594808	0.544019398	0.894817855	0.551466394	0.536223542	0.547416937	0.548051158	0.86758422	0.539955999	0.946770108	0.539435189	0.554022258	0.699275847	0.930210432	0.512283511	0.900730432	0.918727561	0.544834432	0.944587776	0.630667994	0.801451062	0.523485933	0.740970781	0.557366989	0.780084218	0.732808228	0.700436179	0.694626446	0.689692263	0.695588898	0.78461985	0.813390539	0.74872888	0.919056572	0.815661497	0.742945364	0.737318244	0.865332942	0.910697098	0.89537355	0.94192084	0.858462807	0.920766542	0.907373077	0.9317411	0.92857662	0.925516066	0.947794147	0.910619688	0.932303505	0.720983397	0.831220202	0.724740708	0.678795292	0.743982838	0.846890663
Amz4adltF	0.786944005	0.742221401	0.750961736	0.680554675	0.863692257	0.563679955	0.648714735	0.596884658	0.554629516	0.606818144	0.607545313	0	0.674383051	0.646980106	0.705356718	0.595528074	0.597986796	0.60077067	0.540426865	0.600857923	0.617551915	0.6880556	0.629142161	0.658746625	0.6912949	0.870324031	0.613240712	0.767843514	0.756446389	0.878908776	0.711942786	0.866604784	0.657823308	0.638692158	0.663480203	0.628815998	0.827272029	0.699736083	0.905097678	0.680725409	0.627102551	0.763344135	0.901348351	0.639038032	0.853936884	0.880592487	0.627473958	0.928477581	0.766971258	0.764573775	0.593531419	0.788906428	0.744889051	0.774459401	0.790195789	0.737944561	0.717315076	0.767943856	0.736509448	0.836113851	0.841835276	0.811058418	0.918838486	0.86293858	0.788847446	0.724696596	0.859557144	0.895004523	0.904206397	0.913712144	0.877026083	0.898857772	0.875096024	0.914206253	0.874892549	0.868958481	0.916904658	0.924294747	0.89704031	0.746990432	0.848827305	0.779189624	0.747734596	0.771681323	0.861807646
Amz4chldM1	0.708398366	0.679326145	0.67916674	0.465503209	0.902542413	0.519719052	0.522769134	0.543459597	0.695760893	0.559685913	0.498149214	0.674383051	0	0.431001548	0.51380928	0.477892514	0.498256619	0.536964034	0.572805243	0.678732004	0.556162194	0.453860297	0.505810559	0.517193569	0.559882889	0.879588721	0.552998717	0.593508447	0.728937027	0.832280622	0.524679476	0.894429177	0.587713179	0.571935779	0.583584197	0.57339195	0.821012645	0.562786756	0.905261054	0.555537896	0.573854905	0.682187737	0.933342802	0.569445123	0.875474012	0.872836753	0.579886456	0.929883712	0.582263517	0.734865845	0.618317879	0.678620908	0.581438064	0.758112962	0.729959054	0.682719233	0.673986068	0.695313206	0.650088726	0.773245611	0.77900037	0.752805072	0.886544792	0.805543149	0.70423153	0.710696123	0.813633361	0.906269888	0.878594223	0.915039416	0.841629035	0.89207351	0.893733319	0.944873824	0.924744656	0.916818473	0.929116081	0.90763557	0.925740183	0.68261681	0.808564272	0.693346303	0.688452686	0.75464565	0.826363353
Amz4chldM2	0.763795385	0.715277161	0.712346164	0.449424286	0.907544642	0.449511111	0.522559119	0.488982584	0.696506202	0.498262896	0.419270024	0.646980106	0.431001548	0	0.469777179	0.457630561	0.495110299	0.427010598	0.517891208	0.659533368	0.503396407	0.438984764	0.475213125	0.468158953	0.534294435	0.889541284	0.557017751	0.651415316	0.741002895	0.843283228	0.525756316	0.882873338	0.51881027	0.530817013	0.553952688	0.54328067	0.832748138	0.531216177	0.927953791	0.541043012	0.512242406	0.654062983	0.919577109	0.534761463	0.875709019	0.89619622	0.556691531	0.924935705	0.609720151	0.767661828	0.572064215	0.713185508	0.550402917	0.74305433	0.738939799	0.701684311	0.682671636	0.71053132	0.688577659	0.807813629	0.778573722	0.768191595	0.892981686	0.80745194	0.713580108	0.705072335	0.840447018	0.905947693	0.876392749	0.924476769	0.855015119	0.896980886	0.888320667	0.936319632	0.924684878	0.912683524	0.921061671	0.898242926	0.922376916	0.690161412	0.805529031	0.715819757	0.695689688	0.75278887	0.828309465
Amz5chldF1	0.764233602	0.797037481	0.745252363	0.449907109	0.932435994	0.472497065	0.572368477	0.549090616	0.738329101	0.52395557	0.487136869	0.705356718	0.51380928	0.469777179	0	0.500808108	0.510416288	0.494773456	0.573175056	0.685701032	0.5260749	0.461638245	0.525336966	0.47579535	0.494944691	0.921419917	0.605382539	0.684905563	0.7886014	0.867598897	0.50046012	0.89625842	0.509897959	0.494953434	0.584775478	0.511892451	0.883359924	0.510652117	0.959140675	0.47332773	0.496721152	0.690945079	0.947628246	0.504193534	0.907805159	0.92630001	0.536570564	0.956719465	0.616223127	0.803316938	0.607495333	0.671485484	0.512353874	0.765819529	0.77536756	0.773193878	0.74589787	0.774199749	0.737329629	0.822264606	0.822872463	0.809365854	0.926517117	0.845987986	0.781344966	0.770400371	0.879279232	0.940513769	0.911078886	0.957308835	0.89420336	0.941662812	0.926004934	0.954567901	0.953974275	0.950286725	0.959461718	0.942706965	0.955626988	0.749410156	0.857215727	0.773908345	0.739918099	0.825421087	0.888360363
Amz5chldF2	0.765381549	0.734366576	0.693572586	0.422829233	0.915510545	0.47617577	0.504714649	0.496795858	0.661990553	0.513091447	0.460082492	0.595528074	0.477892514	0.457630561	0.500808108	0	0.483537993	0.413681076	0.494128611	0.603198425	0.504952378	0.539972882	0.490241689	0.487291108	0.560834818	0.893710342	0.569960045	0.663940233	0.725587046	0.862559279	0.547331562	0.89109308	0.511603997	0.546546646	0.593809735	0.531536008	0.846920048	0.569890747	0.933716545	0.548543219	0.55130628	0.70367217	0.929776815	0.55008482	0.885625023	0.909461678	0.560203224	0.932769339	0.683922015	0.770475289	0.515855054	0.744835913	0.59054301	0.766476989	0.733822862	0.700485398	0.69608102	0.706456011	0.664799303	0.786646347	0.813492931	0.781657743	0.910824886	0.844910467	0.745302432	0.707943384	0.85825655	0.91760228	0.897864979	0.934657356	0.879395383	0.923338918	0.904611888	0.952671961	0.934861592	0.93104653	0.941495034	0.922168021	0.937512808	0.692294289	0.846577856	0.708664625	0.69675788	0.758429676	0.870861345
Amz5chldM	0.743826821	0.732283909	0.709478878	0.520443036	0.924172777	0.478487465	0.501991862	0.557920859	0.638049624	0.57217031	0.458841757	0.597986796	0.498256619	0.495110299	0.510416288	0.483537993	0	0.484506191	0.528533431	0.605109645	0.532002005	0.493283654	0.524377058	0.545102691	0.5628752	0.90617765	0.561430461	0.689997494	0.73579877	0.8535697	0.568537548	0.897949741	0.538755138	0.489272206	0.539893046	0.525230222	0.861526156	0.500851109	0.947129857	0.568865344	0.500222717	0.723613873	0.940130481	0.501462373	0.898136794	0.919464065	0.521803473	0.952024703	0.604677592	0.763603301	0.518065145	0.735623158	0.573526108	0.765840849	0.737421927	0.715457395	0.672346532	0.706497957	0.665073025	0.77544158	0.808699118	0.767887655	0.911276784	0.814487564	0.749292447	0.696439212	0.856695775	0.920996317	0.907552927	0.927947254	0.871646586	0.910554205	0.91047608	0.947136405	0.947615195	0.932928958	0.942574043	0.914290369	0.938373716	0.70831082	0.850400551	0.714874658	0.671861607	0.73972372	0.849734103
Amz5teenF	0.796512829	0.745658491	0.71316782	0.457708556	0.926304298	0.450076371	0.515540676	0.45545566	0.662385836	0.478827736	0.417203617	0.60077067	0.536964034	0.427010598	0.494773456	0.413681076	0.484506191	0	0.44178883	0.593668626	0.550480195	0.512222431	0.467786607	0.426205374	0.553149969	0.90367349	0.591632539	0.690106977	0.746098278	0.869888049	0.553933694	0.89912719	0.533497386	0.509172733	0.554883239	0.554695079	0.850807667	0.55911926	0.944628246	0.601977905	0.516776603	0.69063236	0.934866393	0.513232108	0.896060682	0.916446982	0.522198509	0.939910696	0.649855747	0.784186469	0.488357671	0.701542339	0.563074627	0.761135805	0.762362912	0.697227338	0.696478177	0.718802357	0.694165796	0.819190813	0.799942189	0.776929089	0.916778336	0.82937365	0.743432828	0.710909264	0.8573673	0.92328725	0.904437958	0.945155976	0.868108637	0.914685391	0.909095352	0.944740605	0.939750011	0.935128926	0.939297438	0.915902493	0.939713007	0.729925517	0.842975207	0.730894763	0.714110966	0.746799569	0.855830827
Amz6eldM	0.786809173	0.762711347	0.732114339	0.564619722	0.936856762	0.484982717	0.555950893	0.529064806	0.591117681	0.519156223	0.512640184	0.540426865	0.572805243	0.517891208	0.573175056	0.494128611	0.528533431	0.44178883	0	0.55164814	0.552371027	0.546557234	0.490189932	0.50956303	0.607813976	0.918098325	0.576917505	0.69528705	0.712996559	0.875918613	0.621552808	0.907453969	0.558687	0.516768154	0.554939586	0.556780797	0.860186949	0.597502216	0.960567448	0.612813075	0.499545986	0.72045262	0.950936345	0.534643327	0.912910778	0.930064676	0.48173713	0.957975979	0.693738137	0.784353617	0.502883487	0.716391811	0.623023483	0.755152677	0.77914858	0.716429024	0.684106991	0.74220399	0.688594004	0.845205403	0.820686164	0.787597275	0.932021359	0.830757889	0.772047116	0.706615358	0.866400573	0.934125688	0.931763752	0.949495627	0.877716993	0.93508553	0.917059799	0.954127256	0.956399794	0.946873407	0.954064109	0.934169448	0.951657956	0.714264095	0.856678687	0.747624853	0.709012894	0.754006923	0.853276489
Amz7adltF	0.820256277	0.797517933	0.785890112	0.700418301	0.940293152	0.640221059	0.631557547	0.611389122	0.511715605	0.607159054	0.648488642	0.600857923	0.678732004	0.659533368	0.685701032	0.603198425	0.605109645	0.593668626	0.55164814	0	0.657150271	0.667319506	0.590783054	0.616503128	0.699054739	0.897839305	0.661955617	0.77292784	0.783056021	0.882734504	0.646177054	0.89660088	0.64966586	0.561276375	0.624390926	0.633604029	0.873595035	0.646961782	0.96505305	0.695238687	0.557118225	0.80302563	0.921550962	0.612446686	0.916034218	0.938359767	0.550979025	0.963165655	0.731695166	0.834283503	0.521683906	0.831387601	0.742236483	0.844055742	0.814476627	0.739289511	0.694426391	0.783762862	0.741037564	0.846837861	0.850888783	0.837424846	0.903909853	0.858664473	0.823490271	0.728421022	0.89139604	0.935692089	0.923627613	0.942884507	0.902063314	0.929997705	0.924107215	0.955083939	0.95863217	0.928487812	0.950397146	0.926226154	0.948799915	0.760745514	0.882419483	0.79753546	0.742729663	0.79707089	0.857393523
